index,answer1,answer2,condition,label
608,Green,White,The color.,5
609,Colorful tableware,"2 plates, 1 bowl",The dishware.,2
610,Furniture,Furniture.,The object.,4
611,Items in living room.,Red,The color of object.,3
612,No information provided.,Black and White.,The color of albam.,4
613,Train,Train,The type of vehicle.,1
614,Office,Living room,The room.,4
615,Furniture,Table,The desk.,2
616,Canine,Dogs,The species of animal.,5
617,High,Low,The movement level of animals.,2
618,Kites.,Kites,The name of the object.,5
619,Kite flying,Kite-flying.,The activity of the object.,5
620,Sectional sofa,Seating and table,The type of furnishings.,5
621,Two objects.,Two objects,The number of objects.,4
622,On the dog,Sofa,The seating.,4
623,Sitting on dog,Reclining,The person's posture.,1
624,zero,One,The number of beverages.,2
625,Vegetables and condiments,Assorted plates,The type of food.,1
626,Cake,Orange cake,The food.,4
627,Green,Plate color: Not specified.,The color of plate.,2
628,Cycling,Cycling,The sport.,5
629,Bus passengers.,Multiple,The number of people.,4
630,Red wine.,Three wine glasses,The wine in glass.,4
631,Red-Wine,Three types of wine.,Types of wine.,2
632,Dining.,Breakfast,The activity.,4
633,Restaurant,Breakfast table,The place.,2
634,White,White.,The color of the ground.,3
635,Ascending,Skiing,The motion of the person.,2
636,Kitchen counter,Table,The palce of object.,5
637,Chopped vegetables and knife,Carrots and ham,The name of object.,3
638,One,One person.,The number of people.,5
639,Biking with umbrella in the rain,Shopping in the rain.,The activity of people.,4
640,Decorated cake.,Cut.,The state of the food.,4
641,Cake,Cake,The type of food.,2
642,1 slice,Multiple slices,The amount of slices of pizza.,3
643,Pizza,Pizza,The type of meal.,3
644,Meal preparation,Food ingredients,The purpose of the objects.,3
645,Mixed vegetables and rice.,Assorted vegetables and seafood,The variety of food.,2
646,Traffic lights,Road signs,The objects used to direct vehicles.,2
647,Shopping center,Street intersection,The location of the lights.,1
648,Above tiled area,Building Wall,The location of the device.,3
649,Timer Clock,Timepiece.,The type of device.,1
650,Traffic control,Police escorts,The activity of people.,5
651,One,Multiple officers,The number of people.,4
652,Clock,Clock,The type of item in view.,3
653,Many clocks,One.,The amount of the clocks.,1
654,One cup.,One cup.,The number of cups.,4
655,Dessert and coffee.,Afternoon tea,The types of meal.,2
656,Bowl.,bowl,The concave object.,5
657,2 servings,Unknown,The number of food servings.,3
658,In the field.,Mountain wildlife,The animals are roaming.,5
659,Farm Animals,Mountain Animals,The type of animals.,2
660,Baseball,Baseball,The name of sport.,3
661,Base running,Watching,The action of people.,2
662,Windows,Transparency,The presence of glass.,4
663,Bedroom,Living Room,The type of room.,2
664,Petting,Fenced pasture,The type of holding.,3
665,Black Pony,Horse.,The name of the animal.,2
666,Peripheral device,Setup.,The name of object.,5
667,1. One,Two,The number of keyboard.,3
668,Building,Clock,The type of device.,5
669,Outdoor.,Foreground,The type of position.,5
670,Two cats,Two cats.,The number of cats.,5
671,Black and white,Black,The color of the cats.,2
672,Objects placed,Book open,The action of the object.,2
673,Items,Book,The name of the object.,1
674,White cabinets,Wooden,The kitchen room cabinets.,5
675,Kitchen appliances.,Kitchen items,The type of objects.,2
676,"Cake, strawberries, cream, croissant","Toast with cream filling, powdered sugar, walnuts, and strawberries. 

Summary: Food items.",The food items.,4
677,Dessert with strawberries and whipped cream.,Dessert Toast Ingredients,The type of food ingredients.,2
678,Train,Trains,Type of vehicle.,5
679,Railroad Crossway,Train station,Location.,3
680,Red,Red,Color of the sign.,5
681,One.,Two signs,Number of signs.,2
682,Wine,Wine,The type of drink.,3
683,Food and wine,Food and drink platter.,The amount of things to eat and drink.,2
684,Black individual with red umbrella,Umbrella,The object.,4
685,Male,Female.,The gender.,3
686,Seafood,Salad.,Type of dish.,2
687,Fried fish,Salad,Primary food of the meal.,2
688,Desk Setup,Desk - Shelf with speakers and books,The objects near the device.,5
689,Monitor,Furniture.,The type of device.,4
690,Unicorn,Brown cow with yellow tag,The animal.,5
691,Red,Brown,The color of animal.,3
692,Intermediate,Intermediate,The skill level.,4
693,Upright,Standing,The body position on the board.,4
694,Travel preparation,Furnishing the bedroom,The activity of the object.,3
695,Bedroom Setting,Furniture.,The name of the object.,1
696,Dining room,Living Room,The name of the place.,4
697,Table,Furniture,The name of the object.,3
698,Car.,Propeller plane,The name of vehicle.,5
699,Multiple,Three,The number of men.,4
700,Snowboard Tug-of-War,Snowboarding,The name of the game.,5
701,Snowboarding,Winter resort,The name of the place.,4
702,One person.,One,The number of people.,5
703,Suspension,Beach,The name of the place.,3
704,Carrot cake,Layered chocolate cake,The type of bake.,3
705,Four items,One.,The number of items.,1
706,Skateboarding,Skateboarding,What the person is doing.,5
707,Trick.,Ollie,What trick is being performed.,2
708,Skiing,Skiing,The name of the game.,2
709,Skiing,Observing,The action of the people.,1
710,Bag on ground,Three pieces,The piece of luggage.,5
711,On the ground.,Outdoors,The place of luggage.,3
712,Cats,Cat,The type of animal.,5
713,Two.,One,The number of animals.,1
714,Backyard workstation,Camping tent,The place.,4
715,Chair,The camping chair.,The sitting object.,3
716,Dining room.,Living Room,The room type.,5
717,Home,Residential,The building type.,3
718,Bedroom,Guest room,The room's function.,5
719,One seat.,Two chairs,The number of seats.,1
720,Cat,Cat,The animal.,4
721,Woman,Male.,The gender of people.,1
722,Furnished living room,Modern eclectic.,The types of living room.,3
723,Living room,Home décor,A living room.,2
724,Pizza,Pizza,The type of food.,5
725,One slice of pizza.,One pizza,The quantity of food.,4
726,Male,Male,Gender.,4
727,Close,Close,Proximity of man to ball.,1
728,Snowy,Snowy.,The weather.,3
729,Snowboarding,skiing,The means of traversal.,2
730,Urban environment.,Street,Presence of a road.,5
731,One person.,Zero,Number of people.,4
732,Baseball,Baseball,The sport.,5
733,At-bat,Player's Readiness,The perspective.,4
734,Living Room,Two rooms,The number of rooms.,5
735,Living Room,Living Room,The type of room.,4
736,Baseball,Baseball,The game played.,5
737,Unknown,Young.,The player's age.,4
738,Skateboarding,Skateboarding,The sport.,3
739,Multiple,One,The number of people.,1
740,Donut,Dessert,The type of food.,4
741,Breakfast.,Dessert.,The type of meal.,2
742,One person.,One.,The number of people.,5
743,Rock,Road.,The surface being stood on.,2
744,Laptop.,Desk,The name of the object.,4
745,One,Five Objects,The number of object.,4
746,Giraffes,Giraffe,The name of animal.,5
747,Two,Two giraffes,The number of animal.,2
748,One person,Three people.,The number of people.,3
749,Black,No dress.,The color of dress.,3
750,Pizza Trio,Cheese Pizza,The name of the dish.,5
751,Plate with Pizza,Cheese pizza,The name of the object.,4
752,Bathroom,Bathroom,The room of the house.,5
753,Shower,Next to the sink.,The location of the toilet.,3
754,Vintage decor,Antique décor,The objects are furnitures.,3
755,Vintage aesthetics,Vintage decor,The backgrounds.,1
756,Brown and white,Brown,Color of animal.,5
757,Dog,Horse.,Type of animal.,3
758,Train,Train,Type of transportation.,5
759,Not mentioned,Group,Number of people.,4
760,Truck,Dog,The animal.,3
761,Zero.,One,The number of animal.,1
762,Bedroom,Bedroom,The room type.,4
763,Floral image,Red print,The wall's decoration.,3
764,Wine,Wine.,The type of alchocal.,5
765,Two people.,One person.,The number of person.,2
766,Teddy Bear,Teddy bears,The type of stuffed animal.,5
767,One teddy bear.,Two,The number of teddy bears.,2
768,Storage Room,Kitchen,The name of the room.,3
769,Storage.,Construction.,The type of work.,2
770,Plate,Pie plate.,The flat dish.,3
771,Muffins.,Beet pie,The food.,3
772,Observation,Surfing,The type of work.,5
773,Surfboard.,Neoprene,The name of the material.,1
774,Cylindrical,Bitten,Shape of the food.,4
775,Beginning,In Progress,Current stage of eating.,1
776,"Wood cabinets, black stove, teapot on burner.",Monochrome kitchen.,The kitchen.,5
777,Black,White,The color of object.,5
778,Bears,Teddy bear,The animal.,5
779,Four,One,The number of animal.,1
780,Garden pots and tools,Side-glanced,The animal's attention.,5
781,Black,Black,The animal's color.,1
782,Multiple,Multiple,The number of people.,3
783,Trolley Racing,Cycling,The sport.,1
784,Resting,Sitting.,The animal's posture.,5
785,Cat,Cat,The type of animal.,4
786,One person,One,The number of people.,5
787,Picnic breakfast,Eating snack.,The activity of people.,2
788,Surfing.,Surfing,The name of the game.,5
789,Surfing,Beach,The  name of the place.,4
790,Body parts.,Red,The color of object.,4
791,Feet,Bed.,The object.,3
792,Three animals,Three,The number of animals.,5
793,Pet Animals,Dogs,The type of animals.,4
794,Baseball,Baseball,The type of sport.,5
795,Batting View,Bird's eye view,The type of view.,3
796,Green,Streetlights,The light.,3
797,Green,Streetlights,The type of lights.,1
798,Skateboarding,Skateboarding,The sport.,5
799,Green,Nighttime,The color of object.,2
800,Men's restroom,Bathroom,The room's function.,5
801,Artsy restroom,Motel-style décor,The room's presentation.,2
802,Kitchen,Kitchen,The room in the house.,5
803,Outdoor view,Open and upgraded.,The viewpoint of the room.,2
804,Several people,1,The number of people.,3
805,Busy with pedestrians,Wet brick sidewalk,The sidewalk.,2
806,Before and after,Living room with kitchen,The amount of time points you can see the area.,3
807,Living space,Open concept,The type of area within a house.,2
808,Black Cow,Cow,The name of the animal.,4
809,One,Three,The number of the animal.,4
810,Bathroom,Bathroom,The type of room.,5
811,Bathroom fixtures,Bathroom decor.,The type of objects.,4
812,Cat,Tabby Cats,The name of the pet.,5
813,One,Two,The number of pet.,2
814,Humans: N/A.,Two dishes,How many humans.,3
815,Table,Table,What furniture is there.,1
816,Two people.,Two,The number of people.,4
817,Baseball,Baseball,The sport.,3
818,Brown,Blue,The color of object.,3
819,Snowboarding,Skiing,The sport.,1
820,On desk,Side by side,The object's position.,5
821,Computer  ,Input devices,The object's function.,4
822,Relaxing,Bedroom.,The activity.,2
823,Furniture,Furniture,The bed.,2
824,Bedroom,Nursery.,The name of the room.,4
825,Single,One person.,The number of people.,2
826,Salad,Salad.,The food's category.,3
827,Multiple fruits and vegetables.,Blue,The surface's color.,2
828,Intersection signage,Street Sign,The signage.,5
829,Intersection sign,Street lamp with light and sign.,The arrangement.,3
830,Baseball,Baseball,The game played.,5
831,Three.,Four players,The number of players.,2
832,Cat,Cat,The species of animal.,5
833,Walking,Stationary,The speed animal is moving.,3
834,Six.,12,The number of wheels.,5
835,Parked,Stationary,The vehicle's speed.,1
836,Frisbee,Frisbee,The type of object.,2
837,Frisbee Speed,Throwing/Wind speed.,The speed of the object.,2
838,Kite surfing.,Surfing,The activity of person.,5
839,Kite surfing.,Surfing,The sport.,5
840,Specialty pizza,Pizza with Cilantro,The name of the dish.,5
841,Specialty pizza,Pizza,The name of the object.,4
842,One.,1,The amount of women.,5
843,Bed,On couch,Where the woman is sitting.,2
844,Bedroom,Room transformation.,The place.,5
845,Assorted objects,"Before: Cluttered;After: Tidied",The number of object.,1
846,Donut plate,Breakfast plate,The plate on a table with food.,4
847,Donut Breakfast,"Eggs, sausages, and tea",The variety of breakfast.,2
848,Capitol Lawn,National Mall,The name of the place.,4
849,Capitol gathering,Kite flying,The name of the activity.,3
850,Remote arm rest.,Black and white.,The toilet type.,5
851,Bathroom,Bathroom,The room type.,3
852,Costumed motorcyclist,Protester,Man with bear costume.,5
853,Playful,Protest.,The emotion of man.,3
854,Steps,Ladder,The object to gain access.,4
855,Unclear,One,The number of people.,3
856,Male,Man,The gender of the patrons.,4
857,Huge,Unknown,The size of the pizza.,4
858,Double Decker Bus,Bus,The name of the vehicle.,4
859,Crowd,Not provided.,The number of the people.,3
860,Bathroom,Bathroom,Type of room.,5
861,Orange,Gold circle patterns,Color of bathroom.,3
862,Birthday cake.,Cake.,Presence of cake.,5
863,Five,One,Number of people.,1
864,Two elephants.,Multiple,The number of elephants.,3
865,Elephant,Elephants,The type of animal.,3
866,Pizza,Pizza,The food type.,3
867,Partial plate of pizza.,Plentiful.,The quantity of food.,2
868,Railway journey,Railway,The type of travel.,5
869,Train,Train,The type of vehicle.,4
870,Food,Breakfast plate,The presence of food.,5
871,Eating.,Food,The presence of a human.,4
872,One,One person.,The number of people.,3
873,Hat,Red,The color of object.,2
874,Sandwich with salad.,Sandwich & chips,The type of food.,4
875,Salad,Potato chips,The side dish.,2
876,Cat,Cat,Type of animal.,4
877,Diving into bathtub.,Cat's curious behavior.,Actions of the cat.,1
878,Fruit,Fruit.,The type of food.,4
879,Small,Multiple bananas,The quantity of food.,2
880,Adorable outfit,Dress-up.,The actions are equal.,4
881,Red.,Brown,The color of the tabby cat.,1
882,Living room,Dining Room,The room.,4
883,Contemporary,Mixed styles.,The style.,2
884,Intersection,Green face sticker,The stop sign in street.,5
885,Intersection,Intersection.,The place of sign.,2
886,Two people.,Group,The number of people.,4
887,Flying disc.,Disc.,The frisbee.,4
888,"Carrot, celery",Vegetables,The type of vegetable.,4
889,Beer,Tea,The type of beverage.,2
890,Two women,Several,The number of people.,3
891,City Street,Busy Street.,The street.,2
892,2,Two giraffes,The number of giraffes.,5
893,Zoo Animals,Behavior,The variability of animals.,3
894,Dessert,Dessert,The type of food.,4
895,Plate,Plate,The type of dinnerware.,4
896,Baseball,Baseball,The type of sport.,4
897,Sliding,"Catcher, umpire",The players move to the position.,4
898,Ready for use,White tile floors and pattern on walls.,The bath.,3
899,Personal Hygiene,Bathroom design,The activity.,2
900,White,white,Color of plates.,5
901,Two,Zero,Number of bottles.,1
902,Dog,Dog,Type of animal.,5
903,On the rug,Sitting.,Height of animal above the ground.,1
904,Bathroom,Bathroom,The room type.,4
905,Home residence,Residential.,The building type.,3
906,Three,Three,The number of people.,5
